name,CID,rank,similarity_score,similarity_distance,original_name,original_id,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,TPSA,NumHeteroatoms,NumRings,NumSaturatedRings,NumAliphaticRings,FractionCSP3,MolarRefractivity,BertzCT,HeavyAtomCount
"2,4-Dichloro-1-(4-nitrophenoxy)benzene",15787,1,0.5283269398486516,0.8927673843140899,Tetradifon (Ref: ENT 23737),8305,284.098,4.693900000000002,0.0,3.0,3.0,2.0,52.370000000000005,6.0,2.0,0.0,0.0,0.0,69.63240000000002,559.0922237419177,18.0
"2,6-Dichloro-N-[[3-chloro-5-(trifluoromethyl)-2-pyridinyl]methyl]benzamide",11159021,2,0.4995708692032028,1.0017179976786141,Tetradifon (Ref: ENT 23737),8305,383.58400000000006,4.990600000000002,1.0,2.0,3.0,2.0,41.99,9.0,2.0,0.0,0.0,0.1428571428571428,81.88120000000002,691.0535489105698,23.0
Chloroxuron (Ref: C 1983),16115,3,0.47671429401243415,1.0976925016935133,Tetradifon (Ref: ENT 23737),8305,290.75,4.225800000000003,1.0,2.0,3.0,2.0,41.57000000000001,5.0,2.0,0.0,0.0,0.1333333333333333,80.67370000000004,555.9922350998435,20.0
Flupyrimin,14127920,4,0.4659138313114592,1.1463196256380486,Tetradifon (Ref: ENT 23737),8305,315.682,2.5744000000000007,0.0,3.0,2.0,2.0,47.25,8.0,2.0,0.0,0.0,0.1538461538461538,69.40600000000002,672.9685167754292,21.0
Pyrifenox (Ref: CGA 179945),6023583,5,0.46235915420180235,1.1628208091312877,Tetradifon (Ref: ENT 23737),8305,295.169,3.981600000000003,0.0,3.0,4.0,2.0,34.480000000000004,5.0,2.0,0.0,0.0,0.1428571428571428,77.94900000000004,561.8471112440811,19.0
Mefenpyr diethyl (Ref: HOE 107892),10937610,1,0.469258460926176,1.1310217785445973,"S-[(1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl]O,O-dimethyl ester, Phosphorodithioic acid",12901,373.2360000000002,3.4444000000000026,0.0,6.0,5.0,1.0,68.2,8.0,2.0,0.0,1.0,0.4375,92.66400000000004,658.615925568803,24.0
"2-Ethoxy-2,3-dihydro-3,3-dimethyl-5-benzofuranol 5-methanesulfonate",33360,2,0.45872129599875405,1.1799729132320818,"S-[(1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl]O,O-dimethyl ester, Phosphorodithioic acid",12901,286.34900000000005,2.0576,0.0,5.0,4.0,1.0,61.830000000000005,6.0,2.0,0.0,1.0,0.5384615384615384,70.98180000000004,555.7011487560239,19.0
Chlozolinate (Ref: M 8164),51574,3,0.4346123668734277,1.3009009320050715,"S-[(1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl]O,O-dimethyl ester, Phosphorodithioic acid",12901,332.13900000000007,2.798400000000001,0.0,5.0,3.0,1.0,72.91,8.0,2.0,1.0,1.0,0.3076923076923077,75.46700000000003,582.2143673737444,21.0
Oxycarboxin (Ref: F 461),21330,4,0.41150521637381243,1.4301028521874126,"S-[(1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl]O,O-dimethyl ester, Phosphorodithioic acid",12901,267.306,1.3016,1.0,4.0,2.0,1.0,72.47,6.0,2.0,0.0,1.0,0.25,67.51050000000004,565.7241423780712,18.0
Parathion-methyl (Ref: OMS 213),4130,5,0.4105612395514462,1.4356902300191274,"S-[(1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl]O,O-dimethyl ester, Phosphorodithioic acid",12901,263.211,2.4909,0.0,6.0,5.0,1.0,70.83,8.0,1.0,0.0,0.0,0.25,62.027400000000014,384.5514164194121,16.0
